moment,file1_mean,file1_std,file1_n,file2_mean,file2_std,file2_n,known_value,known_error,file1_minus_known,file2_minus_known,file2_minus_file1,file1_known_combined_error,file2_known_combined_error,file2_file1_combined_error
H_5_2_1,-0.07275140073406748,3.872888595978111e-06,413,0.07150383926790102,0.000723635034031826,676,-0.239162,0.0047071,0.16641059926593255,0.31066583926790103,0.1442552400019685,0.0047071015932594945,0.00476239835298122,0.0007236453977911549
H_5_2_2,0.005135233318051668,3.887026681070496e-06,413,-0.006872208910069927,0.0010094797029506942,676,0.00774039,0.00610075,-0.002605156681948332,-0.014612598910069927,-0.012007442228121595,0.006100751238288317,0.006183704377892707,0.0010094871864693683
H_6_2_1,0.06297787033730888,4.3653544248518335e-06,413,-0.06363342495342336,0.000147361019136844,676,0.220455,0.0061548,-0.15747712966269112,-0.28408842495342335,-0.12661129529073223,0.006154801548085792,0.006156563839509914,0.00014742566357423621
H_6_2_2,0.04148887669477769,4.9880988551942724e-06,413,-0.0475361675186456,0.0016203612182062062,676,-0.00725049,0.0040279,0.048739366694777686,-0.040285677518645605,-0.08902504421342329,0.004027903088597117,0.004341606717272616,0.0016203688958372688
H_7_2_1,-0.021327975354309053,1.737946493745476e-05,413,0.12861170910478276,0.003197770821626769,676,-0.0667879,0.0239311,0.045459924645690944,0.19539960910478277,0.1499396844590918,0.02393110631073711,0.024143804286765738,0.003197818048834088
H_7_2_2,-0.14111893067364836,2.8931341880714946e-05,413,0.0332401898821079,0.003654785931644574,676,0.00617271,0.0218721,-0.14729164067364836,0.0270674798821079,0.17435912055575625,0.021872119134472155,0.022175351600733348,0.0036549004403253057
H_8_0_0,0.6650610947104588,0.00012762750381304494,413,-0.5721871777015499,0.01220182512553965,676,-0.059,0.119096,0.7240610947104589,-0.51318717770155,-1.2372482724120086,0.11909606838506352,0.11971942930199028,0.012202492580369808
H_8_2_0,-0.1010440938420857,3.2480368802242334e-05,413,0.11880748649404685,0.004895991441306832,676,0.01672,0.0377603,-0.1177640938420857,0.10208748649404685,0.21985158033613256,0.0377603139693562,0.03807638360300712,0.004896099178704132
H_8_2_1,-0.07013944460460748,3.202600050866634e-05,413,-0.07909391808185598,0.0008614977656721208,676,-0.0554256,0.0218198,-0.014713844604607486,-0.02366831808185598,-0.008954473477248495,0.021819823503060436,0.021836800370939376,0.0008620928401086726
H_8_2_2,-0.05410563104396558,1.6294837511394915e-05,413,-0.09904240427427786,0.007511650663177498,676,-0.0102879,0.0258031,-0.04381773104396558,-0.08875450427427786,-0.04493677323031228,0.02580310514515122,0.026874241669219524,0.007511668337150174
